user_id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,action,action_type,action_detail,device_type,secs_elapsed,day_account_created,year_account_created,month_account_created,dayofweek_account_created,month_name_account_created,dayofyear_account_created
q5jtjj1534,2014-05-16,20140516200030,UNKNOWN,-unknown-,44.0,basic,23,en,direct,direct,untracked,Android,Android Phone,-unknown-,NDF,search,click,view_search_results,Android Phone,38991.0,Friday,2014,5,4,May,136
oye7dbs97z,2014-03-09,20140309210539,UNKNOWN,FEMALE,32.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,qt2,view,message_thread,Mac Desktop,82001.0,Sunday,2014,3,6,March,68
b08sbm63lx,2014-06-12,20140612215345,UNKNOWN,FEMALE,35.0,facebook,23,en,direct,direct,untracked,Android,Android Phone,-unknown-,NDF,show,view,user_profile,Android Phone,402.0,Thursday,2014,6,3,June,163
f9yqqasd8v,2014-06-28,20140628051718,UNKNOWN,FEMALE,38.0,basic,0,en,direct,direct,untracked,Moweb,iPhone,Mobile Safari,NDF,show,view,user_profile,-unknown-,401.0,Saturday,2014,6,5,June,179
yfnnsm20xx,2014-04-11,20140411203332,2014-07-17,FEMALE,32.0,facebook,12,en,direct,direct,untracked,iOS,iPhone,-unknown-,US,notifications,view,account_notification_settings,Mac Desktop,312.0,Friday,2014,4,4,April,101
agl2py6xsg,2014-04-12,20140412040831,2014-11-25,MALE,26.0,facebook,12,en,direct,direct,linked,Moweb,Android Phone,Chrome Mobile,US,active,-unknown-,-unknown-,Android App Unknown Phone/Tablet,81.0,Saturday,2014,4,5,April,102
qixv9suuz6,2014-04-10,20140410213854,2014-11-13,FEMALE,25.0,basic,23,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,US,show,view,user_profile,Android App Unknown Phone/Tablet,127.0,Thursday,2014,4,3,April,100
60j2cv1iii,2014-02-01,20140201001315,UNKNOWN,-unknown-,44.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF,show,view,user_profile,iPhone,61.0,Saturday,2014,2,5,February,32
gz93pp23r0,2014-05-14,20140514202101,2014-06-23,-unknown-,44.0,basic,24,en,direct,direct,linked,Moweb,Android Tablet,Chrome,US,authenticate,submit,login,Linux Desktop,347314.0,Wednesday,2014,5,2,May,134
yaakazvu4e,2014-05-08,20140508230046,2014-06-14,MALE,28.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,ajax_get_referrals_amt,-unknown-,-unknown-,Mac Desktop,54.0,Thursday,2014,5,3,May,128
npj9pa83v9,2014-05-25,20140525212303,UNKNOWN,-unknown-,44.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF,show,view,user_profile,iPhone,482.0,Sunday,2014,5,6,May,145
k5zl7f8hl8,2014-04-08,20140408215056,2015-03-22,FEMALE,24.0,basic,25,zh,direct,direct,untracked,iOS,iPhone,-unknown-,other,show,view,user_profile,iPhone,18.0,Tuesday,2014,4,1,April,98
ki7jx8pcjk,2014-04-25,20140425193128,2014-05-01,FEMALE,69.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,US,show,view,user_profile,Windows Desktop,492.0,Friday,2014,4,4,April,115
nmptg2k3tj,2014-01-01,20140101033422,2014-01-01,-unknown-,44.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,FR,verify,-unknown-,-unknown-,Windows Desktop,51162.0,Wednesday,2014,1,2,January,1
sysjdxpfh0,2014-06-03,20140603233347,UNKNOWN,MALE,39.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,show,view,p3,Windows Desktop,24.0,Tuesday,2014,6,1,June,154
6yfircloew,2014-04-27,20140427202302,UNKNOWN,-unknown-,44.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,open_graph_setting,-unknown-,-unknown-,Windows Desktop,8127.0,Sunday,2014,4,6,April,117
wrs4upjds5,2014-06-20,20140620235326,2014-07-08,FEMALE,29.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,show,view,p3,Mac Desktop,3803.0,Friday,2014,6,4,June,171
s2ifxbv2ib,2014-03-24,20140324210551,2014-04-09,FEMALE,48.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,search_results,click,view_search_results,Mac Desktop,109545.0,Monday,2014,3,0,March,83
iwxrb9oon4,2014-05-19,20140519204155,2014-05-20,MALE,33.0,facebook,25,en,direct,direct,untracked,iOS,iPad,-unknown-,US,index,view,message_inbox,iPhone,13.0,Monday,2014,5,0,May,139
hlvpi3nt4v,2014-06-23,20140623084343,UNKNOWN,MALE,39.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,NDF,show_personalize,data,user_profile_content_update,Mac Desktop,612.0,Monday,2014,6,0,June,174
yv8vj25tgq,2014-02-12,20140212234405,2014-04-16,-unknown-,48.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,ES,personalize,data,wishlist_content_update,Mac Desktop,1213.0,Wednesday,2014,2,2,February,43
xdbsybe4vi,2014-06-19,20140619074513,2014-06-20,MALE,30.0,facebook,23,en,direct,direct,untracked,Android,Mac Desktop,Chrome,IT,campaigns,UNKNOWN,UNKNOWN,Android Phone,41693.0,Thursday,2014,6,3,June,170
mutgv0rnlv,2014-02-28,20140228200150,2014-03-18,MALE,23.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Opera,US,similar_listings,data,similar_listings,Windows Desktop,145.0,Friday,2014,2,4,February,59
sze94h9o81,2014-04-07,20140407152531,2014-04-14,FEMALE,21.0,basic,25,es,direct,direct,untracked,iOS,iPhone,-unknown-,IT,show,view,user_profile,iPhone,118.0,Monday,2014,4,0,April,97
0lb0muyzei,2014-06-05,20140605170050,UNKNOWN,FEMALE,26.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF,show,UNKNOWN,UNKNOWN,Mac Desktop,150.0,Thursday,2014,6,3,June,156
m70xbjul8u,2014-06-13,20140613095442,2014-06-16,-unknown-,22.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other,index,view,user_wishlists,Windows Desktop,1164.0,Friday,2014,6,4,June,164
tnzl86n8hc,2014-03-01,20140301044721,UNKNOWN,-unknown-,44.0,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,NDF,index,view,view_search_results,Mac Desktop,53364.0,Saturday,2014,3,5,March,60
j4dqsliq6g,2014-04-24,20140424234623,UNKNOWN,FEMALE,73.0,basic,0,en,seo,bing,linked,Web,Windows Desktop,IE,NDF,similar_listings,data,similar_listings,Windows Desktop,104.0,Thursday,2014,4,3,April,114
5ub3cbtfva,2014-06-13,20140613012048,UNKNOWN,MALE,35.0,facebook,23,en,direct,direct,untracked,Android,Android Phone,-unknown-,NDF,show,view,user_profile,Android Phone,451.0,Friday,2014,6,4,June,164
eavgs3bkiz,2014-05-28,20140528060339,2015-05-07,FEMALE,30.0,basic,0,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,FR,show,view,p3,Mac Desktop,139.0,Wednesday,2014,5,2,May,148
lvv4v5appj,2014-06-25,20140625220111,UNKNOWN,-unknown-,44.0,basic,23,en,direct,direct,untracked,Android,Android Phone,-unknown-,NDF,show,view,p3,Android Phone,971.0,Wednesday,2014,6,2,June,176
e9v693llr7,2014-02-16,20140216033447,2014-02-16,MALE,28.0,basic,0,es,other,padmapper,omg,Web,Mac Desktop,Firefox,US,header_userpic,data,header_userpic,Mac Desktop,3385.0,Sunday,2014,2,6,February,47
qkvnv6fl3i,2014-05-04,20140504210724,UNKNOWN,FEMALE,52.0,basic,25,en,direct,direct,untracked,iOS,Windows Desktop,Chrome,NDF,index,view,message_inbox,iPhone,129.0,Sunday,2014,5,6,May,124
0jgsonnndu,2014-06-03,20140603032822,UNKNOWN,FEMALE,26.0,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Safari,NDF,show,view,p3,iPad Tablet,15446.0,Tuesday,2014,6,1,June,154
ppildsrvkl,2014-04-16,20140416104751,2015-03-11,MALE,25.0,basic,0,en,other,other,local ops,Web,Windows Desktop,Chrome,US,similar_listings,data,similar_listings,Windows Desktop,630.0,Wednesday,2014,4,2,April,106
w8us29nhmx,2014-06-01,20140601221426,2014-06-02,MALE,55.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,show,view,p3,Mac Desktop,84.0,Sunday,2014,6,6,June,152
66c8gygp25,2014-06-20,20140620052834,UNKNOWN,MALE,41.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,update,submit,update_listing,Mac Desktop,11447.0,Friday,2014,6,4,June,171
yhp5cix6aj,2014-05-02,20140502014939,2014-05-03,-unknown-,44.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,personalize,data,wishlist_content_update,Windows Desktop,117447.0,Friday,2014,5,4,May,122
6h0uwzf44b,2014-05-26,20140526223431,2014-06-02,FEMALE,27.0,basic,0,en,other,padmapper,tracked-other,Web,Windows Desktop,Firefox,US,show,view,p3,Windows Desktop,4467.0,Monday,2014,5,0,May,146
lqldtqt5zw,2014-06-22,20140622200524,UNKNOWN,FEMALE,61.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,update,submit,update_listing,Windows Desktop,6092.0,Sunday,2014,6,6,June,173
a3matta0u6,2014-01-31,20140131171244,2014-02-12,MALE,65.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,lookup,UNKNOWN,UNKNOWN,Mac Desktop,11.0,Friday,2014,1,4,January,31
s8hspm1sv8,2014-05-14,20140514214331,UNKNOWN,-unknown-,36.0,basic,0,en,sem-brand,google,omg,Web,Desktop (Other),Chromium,NDF,qt_with,data,lookup_message_thread,Linux Desktop,2391.0,Wednesday,2014,5,2,May,134
z52nnb1ar7,2014-06-02,20140602102130,UNKNOWN,MALE,30.0,google,12,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,NDF,show,view,p3,Android Phone,2098.0,Monday,2014,6,0,June,153
gweb38krcj,2014-06-29,20140629081036,UNKNOWN,-unknown-,45.0,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,NDF,show,view,p3,Mac Desktop,25524.0,Sunday,2014,6,6,June,180
lm9p2jls6q,2014-06-19,20140619144812,UNKNOWN,-unknown-,44.0,basic,0,en,direct,direct,omg,Web,iPhone,Mobile Safari,NDF,show,view,p3,Windows Desktop,248.0,Thursday,2014,6,3,June,170
fjqvwob4bi,2014-03-08,20140308205931,2014-03-09,MALE,24.0,basic,0,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,US,header_userpic,data,header_userpic,Mac Desktop,1167.0,Saturday,2014,3,5,March,67
